"finessGeoDP","rs","lib_reg","statut","TOT","TOT_rev","PCT_rev"
"780300323","HÃ”PITAL PRIVÃ‰ FRANCISCAINES","ILE-DE-FRANCE","private for profit",1,0,0
"780300414","CH PRIVÃ‰ DE L EUROPE","ILE-DE-FRANCE","private for profit",225,36,16
"780300422","HÃ”PITAL PRIVÃ‰ DE L OUEST PARISIEN","ILE-DE-FRANCE","private for profit",43,6,14
"790009948","POLYCLINIQUE INKERMANN","NOUVELLE-AQUITAINE","private for profit",80,8,10
"800002503","SA SAINTE ISABELLE","HAUTS-DE-FRANCE","private for profit",59,15,25.4
"800006124","CHU AMIENS SUD","HAUTS-DE-FRANCE","public academic",103,10,9.7
"800009466","POLYCLINIQUE DE PICARDIE","HAUTS-DE-FRANCE","private for profit",23,1,4.3
"800009920","SA CLINIQUE VICTOR PAUCHET","HAUTS-DE-FRANCE","private for profit",96,6,6.2
"810101170","CLINIQUE TOULOUSE LAUTREC","OCCITANIE","private for profit",111,10,9
"810101444","CLINIQUE DU SIDOBRE","OCCITANIE","private for profit",35,7,20
"820000040","CLINIQUE CROIX SAINT MICHEL","OCCITANIE","private for profit",31,1,3.2
"830000311","CHIC DE FREJUS SAINT RAPHAEL","PROVENCE-ALPES-CÃ”TE D'AZUR","public",21,0,0
"830000345","CHITS CH SAINTE MUSSE","PROVENCE-ALPES-CÃ”TE D'AZUR","public",82,18,22
"830100251","CLINIQUE DU CAP D'OR","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",131,11,8.4
"830100434","CLINIQUE SAINT JEAN","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",65,5,7.7
"830100459","CLINIQUE SAINT MICHEL","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",206,31,15
"840000418","CHIC DE CAVAILLON LAURIS","PROVENCE-ALPES-CÃ”TE D'AZUR","public",170,25,14.7
"840000467","CAPIO CLINIQUE D'ORANGE","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit",68,12,17.6
"850000118","CLINIQUE SAINT CHARLES","PAYS DE LA LOIRE","private for profit",45,5,11.1
"850000142","CHD SITE LA ROCHE SUR YON","PAYS DE LA LOIRE","public",62,12,19.4
"860000223","CHU LA MILETRIE","NOUVELLE-AQUITAINE","public academic",148,39,26.4
"860010321","POLYCLINIQUE DE POITIERS","NOUVELLE-AQUITAINE","private for profit",32,4,12.5
"870000064","CHU DUPUYTREN LIMOGES","NOUVELLE-AQUITAINE","public academic",43,7,16.3
"870000288","CLINIQUE FRANÃ‡OIS CHENIEUX","NOUVELLE-AQUITAINE","private for profit",203,20,9.9
"890000169","CLINIQUE PAUL PICQUET SENS","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit",214,28,13.1
"890975550","CH SENS","BOURGOGNE-FRANCHE-COMTÃ‰","public",138,32,23.2
"900003039","HNFC SITE TREVENANS","BOURGOGNE-FRANCHE-COMTÃ‰","public",134,12,9
"910020254","CH SUD FRANCILIEN SITE JEAN JAURES","ILE-DE-FRANCE","public",51,3,5.9
"910300011","HÃ”PITAL DE PARIS ESSONNE LES CHARMILLES","ILE-DE-FRANCE","private for profit",9,0,0
"910300144","CLINIQUE DU MOUSSEAU","ILE-DE-FRANCE","private for profit",123,23,18.7
"910300177","CLINIQUE DE L'YVETTE","ILE-DE-FRANCE","private for profit",155,44,28.4
"910300300","HÃ”PITAL PRIVÃ‰ DU VAL D'YERRES","ILE-DE-FRANCE","private for profit",34,4,11.8
"910803543","HÃ”PITAL PRIVÃ‰ CLAUDE GALIEN","ILE-DE-FRANCE","private for profit",199,17,8.5
"920000643","HÃ”PITAL FRANCO BRITANNIQUE - FCJ","ILE-DE-FRANCE","private not-for-profit",59,9,15.3
"920000650","HÃ”PITAL FOCH","ILE-DE-FRANCE","private not-for-profit",44,6,13.6
"920029550","CENTRE MÃ‰DICO-CHIRURGICAL AMBROISE PARE HARTMANN SITE 48 TER","ILE-DE-FRANCE","private for profit",104,6,5.8
"920100013","HÃ”PITAL AMBROISE PARE","ILE-DE-FRANCE","public academic",63,12,19
"920100021","GHU APHP UPS SITE ANTOINE BECLERE","ILE-DE-FRANCE","public academic",284,45,15.8
"920100047","HÃ”PITAL LOUIS MOURIER","ILE-DE-FRANCE","public academic",38,8,21.1
"930000286","GHI LE RAINCY MONTFERMEIL","ILE-DE-FRANCE","public",45,6,13.3
"930000328","CH GENERAL DELAFONTAINE","ILE-DE-FRANCE","public",97,9,9.3
"930100037","HÃ”PITAL AVICENNE","ILE-DE-FRANCE","public academic",129,19,14.7
"930300025","HÃ”PITAL EUROPEEN DE PARIS","ILE-DE-FRANCE","private for profit",84,1,1.2
"930300082","CENTRE MÃ‰DICO-CHIRURGICAL FLOREAL","ILE-DE-FRANCE","private for profit",41,4,9.8
"930300116","HÃ”PITAL PRIVÃ‰ DE SEINE ST DENIS","ILE-DE-FRANCE","private for profit",60,8,13.3
"930300553","CLINIQUE DE L'ESTREE","ILE-DE-FRANCE","private for profit",53,5,9.4
"930300587","CLINIQUE DU LANDY","ILE-DE-FRANCE","private for profit",53,5,9.4
"930300595","HÃ”PITAL PRIVÃ‰ DU VERT GALANT","ILE-DE-FRANCE","private for profit",91,12,13.2
"940000573","CHIC DE CRETEIL","ILE-DE-FRANCE","public",186,37,19.9
"940006679","HÃ”PITAL PRIVÃ‰ DE MARNE-LA-VALLÃ‰E","ILE-DE-FRANCE","private for profit",187,24,12.8
"940300494","CLINIQUE VILLENEUVE SAINT GEORGES","ILE-DE-FRANCE","private for profit",54,9,16.7
"940813033","CLINIQUE DE BERCY","ILE-DE-FRANCE","private for profit",157,19,12.1
"950000307","CH VICTOR DUPOUY","ILE-DE-FRANCE","public",35,4,11.4
"950000323","GHEM HÃ”PITAL SIMONE VEIL EAUBONNE","ILE-DE-FRANCE","public",57,9,15.8
"950000331","CH GENERAL DE GONESSE","ILE-DE-FRANCE","public",50,7,14
"950000364","HÃ”PITAL NOVO SITE PONTOISE","ILE-DE-FRANCE","public",98,10,10.2
"950300202","CLINIQUE CONTI","ILE-DE-FRANCE","private for profit",33,5,15.2
"950300244","CH PRIVÃ‰ SAINTE MARIE OSNY","ILE-DE-FRANCE","private for profit",155,22,14.2
"950300277","HÃ”PITAL PRIVÃ‰ NORD PARISIEN","ILE-DE-FRANCE","private for profit",39,5,12.8
"950807982","CLINIQUE CLAUDE BERNARD","ILE-DE-FRANCE","private for profit",142,21,14.8
"970100392","CH DE LA BASSE -TERRE","GUADELOUPE","public",27,4,14.8
"970107249","CLINIQUE LES EAUX CLAIRES","GUADELOUPE","private for profit",126,4,3.2
"970202313","CLINIQUE SAINT PAUL","MARTINIQUE","private for profit",71,15,21.1
"970400024","CHU SITE FELIX GUYON (SAINT DENIS)","LA RÃ‰UNION","public academic",78,13,16.7
"970400065","CH OUEST REUNION","LA RÃ‰UNION","public",41,9,22
"970462081","CLINIQUE LES ORCHIDEES","LA RÃ‰UNION","private for profit",144,21,14.6
"970462107","CLINIQUE SAINTE CLOTILDE","LA RÃ‰UNION","private for profit",89,6,6.7
